slug,companyURL,companyMembersURL,companyNameNAICS,LinkedIn Company Name,employeesCount,LinkedIn Company IDs
abjayon,https://www.linkedin.com/company/abjayon/,https://www.linkedin.com/search/results/people/?currentCompany=%5B%222388902%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABJAYON INC,Abjayon Inc.,280,2388902
abnormalsecurity,https://www.linkedin.com/company/abnormalsecurity,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2218586257%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABNORMAL SECURITY CORPORATION,Abnormal Security,583,18586257
abotts-consulting,https://www.linkedin.com/company/abotts-consulting,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223243041%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABOTTS CONSULTING INC,Abotts Consulting,60,3243041
incmagazine,https://www.linkedin.com/company/incmagazine,https://www.linkedin.com/search/results/people/?currentCompany=%5B%227587%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABOUT INC,Inc. Magazine,2114,7587
above-grade-engineering-inc-,https://www.linkedin.com/company/above-grade-engineering-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%228187037%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABOVE GRADE ENGINEERING INC,"Above Grade Engineering, Inc.",9,8187037
abra,https://www.linkedin.com/company/abra,https://www.linkedin.com/search/results/people/?currentCompany=%5B%22205659%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABRA INNOVATIONS INC,Abra,173,205659
abridge-info-systems-inc,https://www.linkedin.com/company/abridge-info-systems-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223215361%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABRIDGE INFO SYSTEMS INC,Abridge Info Systems Inc,13,3215361
absolutdata-analytics,https://www.linkedin.com/company/absolutdata-analytics,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2266808%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABSOLUTDATA TECHNOLOGIES INC,Absolutdata Analytics-an Infogain company …,545,66808
abzooba-inc-,https://www.linkedin.com/company/abzooba-inc-,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221385602%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ABZOOBA INC,Abzooba,320,1385602
academia-edu,https://www.linkedin.com/company/academia-edu,https://www.linkedin.com/search/results/people/?currentCompany=%5B%221106525%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACADEMIA INC,Academia.edu,137,1106525
academic-medicine-inc,https://www.linkedin.com/company/academic-medicine-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%223903183%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACADEMIC MEDICINE SERVICES INC D/B,Academic Medicine Inc,14,3903183
academic-solutions-academy-inc,https://www.linkedin.com/company/academic-solutions-academy-inc,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2215344131%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACADEMY HIGH SCHOOL,Academic Solutions Academy High School,7,15344131
academy-sports-and-outdoor,https://www.linkedin.com/company/academy-sports-and-outdoor,https://www.linkedin.com/search/results/people/?currentCompany=%5B%2214303%22%5D&origin=COMPANY_PAGE_CANNED_SEARCH,ACADEMY LTD D/B/A ACADEMY SPORTS OUTDOORS,Academy Sports + Outdoors,10903,14303
